Record_ID,Date,Month,State,Region,River_Basin,Rainfall_mm,River_Level_m,Soil_Moisture,Upstream_Release_cumecs,Distance_to_River_km,Catchment_Slope_deg,Elevation_m,Drainage_Density_km_per_km2,Land_Use,Flood
R00015,2024-08-09,3,Mizoram,North-East,Barak,12.2,1.69,0.104,3.4,1.53,7.84,572,2.04,Forest,0
R00016,2025-02-06,12,Rajasthan,West,Luni,3.0,1.94,0.131,1.4,2.47,4.23,181,0.93,Barren,0
R00017,2025-01-29,9,Mizoram,North-East,Barak,265.7,7.31,0.9,9.4,2.78,7.28,737,2.17,Agriculture,1
R00018,2024-08-04,5,Odisha,East,Brahmani,13.6,1.52,0.175,14.0,3.72,2.53,81,1.62,Agriculture,0
R00019,2024-10-14,1,Tripura,North-East,Gumti,47.1,1.74,0.216,9.1,2.04,6.47,803,2.1,Urban,0
R00020,2025-01-02,7,Kerala,South,Pamba,309.4,7.39,0.9,14.5,2.1,3.99,58,1.53,Urban,1
R00021,2025-02-17,4,Rajasthan,West,Luni,36.0,1.4,0.249,1.8,1.83,2.53,154,0.8,Wetland,0
R00022,2025-04-01,3,Telangana,South,Krishna,0.0,1.56,0.133,16.6,5.1,4.48,244,1.55,Agriculture,0
R00023,2025-04-07,9,Gujarat,West,Tapi,207.5,4.1,0.669,12.4,8.81,1.68,324,1.25,Forest,1
R00024,2025-06-13,10,Sikkim,North-East,Teesta,114.3,4.71,0.399,1.1,6.39,6.75,507,1.96,Forest,0
R00025,2025-01-15,9,Gujarat,West,Sabarmati,155.8,3.26,0.555,7.6,1.09,2.7,398,0.88,Urban,1
R00026,2024-07-17,2,Tamil Nadu,South,Cauvery,37.4,1.63,0.284,2.4,2.65,4.09,359,1.28,Agriculture,0
R00027,2024-12-06,10,Kerala,South,Pamba,49.5,2.22,0.258,15.7,4.72,1.17,311,1.12,Wetland,0
R00028,2024-08-05,9,Bihar,East,Kosi,248.2,8.21,0.833,4.3,5.7,2.87,91,2.19,Barren,1
R00029,2024-07-10,11,Andhra Pradesh,South,Godavari,110.3,3.48,0.386,7.5,2.28,4.94,332,1.01,Barren,0
R00030,2024-10-06,11,Tamil Nadu,South,Vaigai,137.8,3.09,0.421,1.4,5.14,3.58,193,1.25,Urban,0
R00031,2024-11-09,3,Goa,West,Zuari,34.2,1.97,0.226,8.2,3.83,2.16,61,0.55,Urban,0
R00032,2024-12-25,9,Sikkim,North-East,Teesta,0.0,2.57,0.129,7.9,2.88,8.79,741,2.4,Barren,1
R00033,2025-07-08,11,Haryana,North,Indus,111.8,3.03,0.332,5.2,9.23,5.06,746,1.64,Barren,0
R00034,2025-01-20,6,Rajasthan,West,Indus,53.4,2.2,0.3,9.2,3.89,3.21,379,1.12,Barren,0
R00035,2024-11-03,10,Tamil Nadu,South,Cauvery,72.7,2.31,0.348,3.3,1.72,3.74,180,1.1,Wetland,0
R00036,2024-12-30,6,Jammu & Kashmir,North,Indus,222.3,4.81,0.731,15.6,2.63,6.71,1039,1.15,Agriculture,0
R00037,2024-07-16,10,Himachal Pradesh,North,Indus,143.4,3.18,0.439,4.3,0.32,5.42,952,1.31,Urban,1
R00038,2025-07-19,2,Sikkim,North-East,Teesta,31.7,1.92,0.273,5.0,1.32,8.71,728,2.02,Agriculture,0
R00039,2025-07-05,9,Uttarakhand,North,Ganga,228.7,6.38,0.737,25.9,2.59,5.81,666,1.67,Forest,1
R00040,2025-01-03,4,Assam,North-East,Brahmaputra,55.8,3.1,0.307,11.1,1.94,7.83,900,1.87,Agriculture,0
R00041,2025-07-10,7,Arunachal Pradesh,North-East,Brahmaputra,294.9,10.11,0.9,57.1,3.27,6.68,800,2.3,Wetland,1
R00042,2025-02-22,2,Telangana,South,Krishna,22.5,2.02,0.199,15.8,5.82,2.54,149,1.39,Agriculture,1
R00043,2025-04-07,1,Punjab,North,Indus,13.3,1.22,0.15,2.6,1.32,7.05,682,1.23,Barren,0
R00044,2024-07-14,4,Gujarat,West,Tapi,24.8,1.94,0.094,10.3,3.26,1.48,288,1.34,Urban,0
R00045,2024-10-19,4,Arunachal Pradesh,North-East,Brahmaputra,29.2,2.47,0.125,2.9,1.38,8.16,793,2.44,Urban,0
R00046,2024-09-04,2,Andhra Pradesh,South,Krishna,42.8,1.98,0.319,4.9,2.46,3.01,164,1.0,Agriculture,0
R00047,2025-04-05,8,Maharashtra,West,Tapi,240.1,4.92,0.791,10.4,3.55,1.22,501,1.52,Barren,1
R00048,2025-05-08,4,Uttarakhand,North,Ganga,25.2,2.04,0.214,13.3,3.13,6.89,801,1.57,Wetland,0
R00049,2024-08-16,2,Rajasthan,West,Indus,13.8,1.44,0.145,9.7,6.88,2.54,198,0.67,Forest,0
R00050,2024-09-23,8,Jharkhand,East,Subarnarekha,263.5,5.25,0.774,6.0,0.94,2.6,79,1.68,Urban,1
R00051,2025-06-22,12,Himachal Pradesh,North,Ganga,29.8,1.86,0.163,1.2,4.53,6.4,987,1.16,Urban,0
R00052,2025-05-27,4,Gujarat,West,Sabarmati,20.1,1.99,0.179,5.7,3.1,2.87,681,1.26,Wetland,0
R00053,2024-12-29,3,Uttarakhand,North,Ganga,38.6,2.28,0.226,6.6,5.37,4.56,792,1.53,Wetland,0
R00054,2024-12-14,8,Gujarat,West,Sabarmati,144.0,3.21,0.539,18.1,1.98,2.4,296,1.07,Urban,0
R00055,2025-02-03,2,Himachal Pradesh,North,Indus,29.3,2.16,0.177,4.4,2.59,5.32,696,1.64,Agriculture,0
R00056,2024-07-01,8,Jharkhand,East,Subarnarekha,401.3,7.63,0.9,3.5,3.57,2.38,168,1.95,Wetland,1
R00057,2024-10-18,3,Telangana,South,Godavari,20.2,1.69,0.186,2.9,2.71,3.08,200,1.43,Urban,0
R00058,2024-09-11,8,Bihar,East,Kosi,163.1,6.22,0.498,7.4,3.31,3.34,5,1.71,Wetland,1
R00059,2025-05-15,3,Arunachal Pradesh,North-East,Brahmaputra,7.6,1.57,0.078,5.2,7.59,7.0,686,2.19,Forest,0
R00060,2025-06-22,10,Rajasthan,West,Indus,99.9,2.84,0.304,11.1,4.25,1.08,353,1.14,Urban,0
R00061,2025-07-20,1,Sikkim,North-East,Teesta,34.5,2.05,0.19,4.7,8.36,7.89,742,2.43,Barren,0
R00062,2025-05-22,1,West Bengal,East,Ganga,24.1,1.84,0.145,9.8,1.18,3.38,5,2.03,Urban,0
R00063,2025-06-19,2,Andhra Pradesh,South,Godavari,25.8,1.91,0.164,9.8,3.11,2.64,5,1.31,Urban,1
R00064,2025-03-08,7,Tripura,North-East,Gumti,260.0,6.07,0.774,10.5,1.14,8.7,712,1.97,Barren,1
R00065,2024-10-11,10,Gujarat,West,Tapi,54.3,2.11,0.222,16.3,4.51,2.94,281,1.44,Barren,0
R00066,2025-05-21,11,Punjab,North,Indus,51.9,2.32,0.212,9.6,0.68,6.23,958,2.34,Barren,0
R00067,2025-06-30,5,Assam,North-East,Brahmaputra,31.5,2.39,0.159,8.8,2.13,8.01,795,2.25,Forest,0
R00068,2024-07-28,7,Gujarat,West,Narmada,255.8,5.84,0.781,13.9,0.92,3.8,400,1.45,Forest,1
R00069,2024-09-21,2,Odisha,East,Brahmani,26.2,2.2,0.213,8.1,1.4,2.82,17,2.13,Wetland,0
R00070,2024-07-31,2,Manipur,North-East,Barak,11.6,1.68,0.119,11.3,2.74,8.0,906,1.5,Agriculture,0
R00071,2025-07-09,3,Assam,North-East,Brahmaputra,32.1,2.32,0.107,10.3,1.0,8.11,700,2.64,Urban,0
R00072,2024-07-20,6,Telangana,South,Godavari,214.2,5.33,0.687,23.1,1.16,2.88,80,1.27,Agriculture,1
R00073,2025-04-13,10,Odisha,East,Brahmani,59.8,2.75,0.242,15.2,2.1,2.86,233,1.9,Urban,0
R00074,2024-09-22,11,Tripura,North-East,Gumti,77.6,2.56,0.412,3.6,2.46,7.33,614,1.94,Agriculture,0
R00075,2024-11-23,2,Maharashtra,West,Godavari,22.2,1.76,0.178,4.8,8.06,3.79,349,1.23,Agriculture,0
R00076,2024-08-26,10,Maharashtra,West,Krishna,93.1,3.1,0.371,2.8,1.68,3.07,374,1.47,Forest,0
R00077,2025-03-08,9,Rajasthan,West,Luni,207.0,2.7,0.72,1.1,4.18,1.87,392,0.99,Forest,0
R00078,2024-11-19,2,Telangana,South,Godavari,26.5,2.14,0.177,9.0,5.31,4.54,373,1.19,Forest,0
R00079,2025-02-14,6,Himachal Pradesh,North,Indus,254.8,5.54,0.774,0.9,0.95,8.0,898,1.55,Forest,1
R00080,2024-06-17,9,Uttar Pradesh,North,Ganga,268.0,6.91,0.785,63.6,0.2,7.23,466,1.4,Barren,1
R00081,2024-06-29,2,Jammu & Kashmir,North,Indus,33.5,2.34,0.192,6.9,2.08,4.44,827,1.79,Barren,0
R00082,2024-09-28,10,Himachal Pradesh,North,Ganga,39.8,2.08,0.263,5.5,5.34,5.79,704,1.63,Agriculture,1
R00083,2024-12-18,1,Jharkhand,East,Ganga,29.9,1.95,0.162,5.9,3.46,3.47,5,1.45,Forest,0
R00084,2025-07-08,6,Telangana,South,Godavari,109.2,4.02,0.478,2.0,4.49,2.98,243,1.47,Agriculture,0
R00085,2024-12-01,6,Tripura,North-East,Gumti,234.4,5.34,0.842,13.2,1.51,7.46,755,1.64,Wetland,1
R00086,2025-03-24,4,Manipur,North-East,Barak,33.6,1.89,0.222,6.7,4.37,8.65,698,2.35,Agriculture,0
R00087,2025-02-18,1,Telangana,South,Krishna,45.5,2.06,0.239,12.7,2.82,4.4,221,1.03,Forest,0
R00088,2025-07-04,11,Kerala,South,Pamba,108.8,3.06,0.368,1.7,7.15,3.36,33,1.73,Forest,1
R00089,2024-06-08,7,Uttar Pradesh,North,Ganga,158.9,5.21,0.627,41.5,4.34,5.28,697,1.64,Wetland,1
R00090,2024-12-14,8,Gujarat,West,Sabarmati,76.7,2.17,0.352,7.7,2.42,2.95,367,1.03,Forest,0
R00091,2025-04-12,4,Karnataka,South,Krishna,4.4,1.64,0.126,5.6,2.5,3.32,61,1.51,Agriculture,0
R00092,2024-10-29,5,Bihar,East,Kosi,44.9,2.64,0.162,10.0,2.95,3.55,157,1.0,Forest,1
R00093,2024-11-01,11,Chhattisgarh,Central,Godavari,22.2,1.65,0.165,7.1,7.48,1.37,424,1.37,Forest,0
R00094,2024-12-27,5,Jammu & Kashmir,North,Indus,55.1,2.08,0.254,13.2,3.07,5.76,586,1.26,Barren,0
R00095,2025-04-10,2,Maharashtra,West,Godavari,16.3,1.72,0.162,3.7,2.97,2.64,202,0.66,Wetland,0
R00096,2024-06-25,7,Chhattisgarh,Central,Godavari,281.6,6.71,0.833,47.6,0.26,4.69,331,1.37,Barren,1
R00097,2024-08-05,10,Haryana,North,Indus,69.6,2.38,0.272,2.7,4.64,6.24,989,1.18,Forest,0
R00098,2024-11-04,1,Himachal Pradesh,North,Ganga,3.7,1.51,0.125,10.6,4.13,5.96,809,1.3,Barren,0
R00099,2025-02-21,6,Tripura,North-East,Gumti,366.3,7.89,0.9,16.1,2.11,6.78,600,2.24,Urban,1
R00100,2024-11-15,10,Tripura,North-East,Gumti,87.7,2.91,0.299,4.6,0.37,7.88,840,2.15,Urban,0
R00101,2025-04-22,9,Sikkim,North-East,Teesta,280.7,8.62,0.9,6.5,2.46,9.19,616,2.27,Wetland,1
R00102,2025-04-06,12,Madhya Pradesh,Central,Tapi,23.7,1.46,0.143,14.9,4.37,3.22,169,0.89,Barren,0
R00103,2024-12-08,7,Uttarakhand,North,Ganga,214.3,6.43,0.74,47.2,13.99,6.2,664,1.35,Agriculture,1
R00104,2024-10-25,7,Manipur,North-East,Barak,290.8,8.07,0.837,4.0,0.64,7.42,636,2.38,Urban,1
R00105,2024-11-07,4,Goa,West,Zuari,53.8,2.26,0.262,3.4,3.1,2.29,126,0.85,Barren,0
R00106,2024-06-30,8,Manipur,North-East,Barak,313.2,8.48,0.9,3.0,3.37,8.89,607,2.01,Wetland,1
R00107,2024-10-21,9,Tripura,North-East,Gumti,592.6,11.19,0.9,5.6,2.38,8.84,589,3.04,Agriculture,1
R00108,2025-01-19,5,Tripura,North-East,Gumti,50.6,2.53,0.263,3.3,4.71,5.56,581,2.41,Barren,0
R00109,2025-02-03,4,Madhya Pradesh,Central,Narmada,40.2,1.73,0.264,14.6,2.56,2.94,296,1.19,Agriculture,0
R00110,2024-08-15,3,Kerala,South,Periyar,26.4,1.54,0.186,5.7,0.24,2.99,220,1.16,Urban,0
R00111,2024-10-22,10,Gujarat,West,Narmada,76.5,2.81,0.354,2.9,1.54,3.25,306,0.66,Wetland,0
R00112,2025-02-24,12,Jharkhand,East,Ganga,28.3,2.01,0.209,3.6,0.62,0.96,53,1.26,Wetland,0
R00113,2024-09-16,3,Bihar,East,Ganga,20.5,2.04,0.16,3.2,0.42,1.92,219,1.91,Urban,0
R00114,2025-03-03,4,Tamil Nadu,South,Vaigai,35.2,1.85,0.139,14.0,1.27,3.73,417,1.73,Barren,0
R00115,2024-12-20,9,Odisha,East,Mahanadi,77.8,3.4,0.312,13.1,1.29,1.45,104,1.47,Urban,1
R00116,2025-03-26,8,Odisha,East,Mahanadi,256.2,7.02,0.733,55.5,5.39,1.53,5,1.91,Barren,1
R00117,2025-01-15,8,Manipur,North-East,Barak,190.3,6.13,0.588,3.9,7.54,6.84,618,1.96,Barren,1
R00118,2024-10-10,3,Jharkhand,East,Subarnarekha,0.0,1.42,0.119,5.4,2.78,1.22,5,1.66,Wetland,1
R00119,2024-09-14,11,Maharashtra,West,Godavari,81.1,2.83,0.306,5.5,3.11,3.3,271,0.91,Barren,0
R00120,2025-03-01,5,West Bengal,East,Ganga,36.5,1.85,0.168,15.6,1.64,2.21,15,1.66,Urban,0
R00121,2024-07-11,4,Arunachal Pradesh,North-East,Brahmaputra,33.2,2.48,0.191,7.2,1.71,7.55,620,2.33,Forest,1
R00122,2025-04-25,2,Madhya Pradesh,Central,Ganga,23.6,1.75,0.226,6.9,3.31,3.66,346,1.0,Agriculture,0
R00123,2025-07-20,12,Gujarat,West,Narmada,26.9,1.86,0.221,4.9,2.25,2.01,379,0.88,Agriculture,0
R00124,2025-07-13,7,Punjab,North,Indus,150.4,4.14,0.489,24.1,5.35,6.1,665,1.73,Barren,1
R00125,2025-03-12,1,Odisha,East,Brahmani,25.8,2.08,0.243,1.8,8.04,3.38,12,1.55,Wetland,0
R00126,2025-04-10,10,Bihar,East,Ganga,91.7,3.05,0.391,7.2,2.6,0.84,5,1.72,Wetland,1
R00127,2025-02-07,5,Jammu & Kashmir,North,Indus,36.7,1.99,0.218,4.3,3.69,6.09,894,1.76,Wetland,1
R00128,2025-07-22,8,Meghalaya,North-East,Brahmaputra,124.8,5.77,0.464,46.0,3.83,8.2,758,2.12,Forest,0
R00129,2025-06-21,1,Jharkhand,East,Subarnarekha,33.3,1.98,0.172,7.3,1.72,4.07,61,2.3,Forest,0
R00130,2024-11-26,12,Tripura,North-East,Gumti,19.7,1.87,0.227,9.2,13.06,7.28,616,1.92,Wetland,0
R00131,2024-10-02,7,Uttarakhand,North,Ganga,156.7,4.96,0.49,29.2,7.95,6.6,949,2.34,Barren,1
R00132,2024-09-17,2,Tripura,North-East,Gumti,12.2,1.48,0.125,2.6,3.86,7.63,954,2.27,Agriculture,0
R00133,2024-11-16,3,Andhra Pradesh,South,Krishna,23.2,1.78,0.151,13.0,3.43,1.14,178,1.3,Forest,0
R00134,2025-06-04,4,Bihar,East,Kosi,22.3,2.05,0.209,14.8,4.14,3.79,167,1.99,Forest,0
R00135,2025-03-23,5,Madhya Pradesh,Central,Tapi,23.5,1.65,0.167,7.6,1.22,3.65,419,1.86,Forest,0
R00136,2025-04-12,8,Karnataka,South,Krishna,354.7,7.22,0.9,24.1,6.41,2.38,10,1.08,Barren,1
R00137,2024-10-10,4,Himachal Pradesh,North,Ganga,35.1,1.73,0.202,2.5,2.98,5.22,816,1.44,Urban,0
R00138,2025-04-14,4,Tamil Nadu,South,Cauvery,21.8,1.44,0.095,8.1,2.2,1.72,426,1.14,Urban,0
R00139,2024-10-10,4,Manipur,North-East,Barak,29.2,2.17,0.251,8.7,3.7,9.2,648,2.55,Wetland,0
R00140,2025-05-14,10,Tripura,North-East,Gumti,68.2,2.49,0.322,5.7,6.32,8.83,733,2.61,Wetland,0
R00141,2025-04-17,6,Arunachal Pradesh,North-East,Brahmaputra,569.3,18.2,0.9,23.8,0.21,8.17,819,1.93,Barren,1
R00142,2024-09-19,3,Manipur,North-East,Barak,17.6,1.87,0.139,9.6,1.38,7.81,797,1.91,Urban,0
R00143,2024-11-12,5,Nagaland,North-East,Brahmaputra,34.8,2.6,0.226,15.4,3.39,9.57,888,1.9,Wetland,0
R00144,2025-01-20,2,Bihar,East,Ganga,47.2,2.67,0.247,5.2,2.44,2.65,5,1.75,Agriculture,0
R00145,2024-06-25,11,Haryana,North,Indus,50.9,2.11,0.201,3.9,1.93,6.71,600,1.59,Urban,0
R00146,2025-05-14,6,Kerala,South,Periyar,184.1,4.89,0.708,11.1,4.14,0.63,135,1.03,Wetland,1
R00147,2025-06-13,2,Tripura,North-East,Gumti,45.4,2.08,0.196,17.2,7.32,8.1,836,2.83,Forest,0
R00148,2025-05-14,8,Jammu & Kashmir,North,Indus,254.1,5.22,0.806,5.9,4.1,5.87,808,1.67,Wetland,1
R00149,2025-03-12,12,Chhattisgarh,Central,Godavari,19.4,1.76,0.143,13.0,1.62,3.59,469,1.02,Wetland,0
R00150,2024-12-27,10,Uttar Pradesh,North,Ganga,60.7,2.48,0.274,2.8,3.38,5.57,839,1.68,Wetland,0
R00151,2025-02-14,12,Odisha,East,Brahmani,36.4,2.1,0.216,3.7,2.44,3.85,215,1.6,Forest,0
R00152,2025-02-24,2,Madhya Pradesh,Central,Narmada,13.6,1.91,0.212,7.9,4.98,4.51,408,1.57,Wetland,0
R00153,2025-03-12,10,Gujarat,West,Narmada,62.3,2.71,0.299,13.5,8.59,0.79,274,1.53,Wetland,0
R00154,2025-02-09,8,Madhya Pradesh,Central,Narmada,227.8,5.12,0.788,12.9,2.9,2.63,246,0.71,Agriculture,1
R00155,2024-12-01,6,West Bengal,East,Ganga,325.9,8.41,0.9,17.1,2.45,0.91,96,1.49,Forest,1
R00156,2024-11-20,12,Maharashtra,West,Tapi,47.4,2.14,0.238,11.4,3.88,0.69,356,1.68,Barren,0
R00157,2025-01-15,2,Jammu & Kashmir,North,Indus,30.7,1.77,0.269,18.0,3.11,6.46,919,1.52,Wetland,0
R00158,2025-02-20,12,West Bengal,East,Ganga,12.5,2.18,0.179,13.7,3.3,4.04,5,2.02,Wetland,0
R00159,2024-08-16,2,Odisha,East,Mahanadi,10.1,1.66,0.152,1.8,1.94,2.32,49,1.88,Agriculture,0
R00160,2024-12-24,5,Bihar,East,Ganga,14.8,2.1,0.137,3.4,1.31,3.09,5,1.58,Forest,0
R00161,2024-08-15,7,West Bengal,East,Hooghly,247.2,6.48,0.84,13.4,6.91,4.64,5,1.69,Forest,1
R00162,2024-08-09,5,Chhattisgarh,Central,Godavari,27.4,2.25,0.126,6.7,2.89,2.49,265,1.1,Forest,0
R00163,2024-08-07,12,Gujarat,West,Sabarmati,20.9,1.71,0.166,12.4,2.75,4.07,361,0.47,Forest,0
R00164,2024-11-13,4,Haryana,North,Ganga,39.9,2.16,0.292,8.6,0.43,4.97,792,1.39,Wetland,0
R00165,2025-01-25,10,Maharashtra,West,Tapi,65.0,2.45,0.284,11.2,4.48,2.8,286,0.98,Barren,0
R00166,2025-01-07,4,Goa,West,Mandovi,22.9,1.74,0.18,11.0,7.9,2.68,229,0.89,Agriculture,0
R00167,2025-03-26,5,Chhattisgarh,Central,Mahanadi,7.5,1.39,0.094,5.9,2.76,4.89,247,1.39,Barren,0
R00168,2024-07-02,1,Uttarakhand,North,Ganga,42.4,2.56,0.225,8.9,2.42,6.11,929,1.14,Barren,0
R00169,2025-02-12,11,Goa,West,Mandovi,26.1,1.65,0.16,8.7,3.57,3.47,369,0.93,Urban,0
R00170,2024-06-23,10,Andhra Pradesh,South,Godavari,97.9,3.35,0.381,14.1,4.43,3.01,193,1.13,Wetland,0
R00171,2024-09-23,6,West Bengal,East,Hooghly,351.4,8.51,0.9,11.1,2.95,2.14,63,2.12,Urban,1
R00172,2025-06-30,2,Maharashtra,West,Krishna,16.5,1.64,0.2,5.4,0.8,3.25,401,0.54,Wetland,0
R00173,2025-03-24,10,West Bengal,East,Ganga,184.6,5.58,0.647,18.1,1.09,2.89,116,1.67,Agriculture,1
R00174,2024-07-24,2,Uttarakhand,North,Ganga,41.4,2.44,0.211,5.3,3.48,5.84,971,1.91,Urban,1
R00175,2025-01-19,10,Meghalaya,North-East,Brahmaputra,76.7,3.47,0.236,5.2,0.82,9.53,707,2.37,Barren,0
R00176,2024-06-04,7,Gujarat,West,Tapi,165.9,3.18,0.619,3.5,5.68,2.5,336,1.15,Wetland,1
R00177,2024-08-22,5,Goa,West,Zuari,31.3,1.79,0.162,3.4,1.57,1.94,131,1.31,Barren,0
R00178,2024-10-20,4,Himachal Pradesh,North,Indus,42.1,2.09,0.175,6.4,0.25,7.94,989,2.05,Forest,0
R00179,2025-06-27,3,Tripura,North-East,Gumti,5.9,1.47,0.142,11.4,2.07,8.87,841,2.52,Agriculture,0
R00180,2024-08-07,3,Meghalaya,North-East,Brahmaputra,46.3,2.72,0.301,16.5,2.4,9.6,750,2.42,Wetland,0
R00181,2024-12-01,5,Odisha,East,Brahmani,20.1,1.36,0.201,3.1,9.07,2.97,86,1.38,Agriculture,0
R00182,2024-09-07,12,Goa,West,Zuari,14.8,2.05,0.206,13.0,2.19,1.72,284,0.82,Urban,0
R00183,2025-05-13,5,Tripura,North-East,Gumti,28.9,1.7,0.199,7.9,4.22,7.94,986,2.05,Agriculture,0
R00184,2025-02-28,9,Jharkhand,East,Ganga,240.9,7.21,0.832,71.0,4.5,2.65,5,1.64,Agriculture,1
R00185,2025-04-10,2,Maharashtra,West,Godavari,30.7,1.64,0.224,18.7,3.37,1.14,199,1.08,Agriculture,0
R00186,2025-01-16,10,Kerala,South,Pamba,160.2,4.16,0.515,7.0,3.04,2.51,224,1.19,Forest,1
R00187,2025-04-29,8,Odisha,East,Mahanadi,188.9,5.58,0.68,29.1,3.1,3.17,15,1.6,Wetland,0
R00188,2024-12-08,9,Maharashtra,West,Tapi,228.4,4.39,0.755,14.4,1.03,2.03,166,1.07,Wetland,1
R00189,2025-04-23,7,Punjab,North,Indus,202.2,5.05,0.64,8.1,8.07,8.01,870,1.2,Barren,1
R00190,2025-07-18,2,Maharashtra,West,Godavari,23.9,1.94,0.14,10.0,7.56,3.28,334,1.22,Barren,0
R00191,2024-12-22,11,Nagaland,North-East,Brahmaputra,95.6,4.31,0.32,8.7,1.43,8.67,619,2.22,Barren,0
R00192,2025-03-21,8,Himachal Pradesh,North,Indus,298.6,6.41,0.9,23.7,4.39,5.89,1013,1.57,Wetland,1
R00193,2024-10-02,10,Maharashtra,West,Godavari,52.6,2.98,0.263,2.0,4.98,1.86,340,0.74,Wetland,0
R00194,2025-02-28,6,Punjab,North,Indus,269.2,5.82,0.844,1.3,4.41,4.5,714,1.67,Forest,1
R00195,2024-10-04,2,Madhya Pradesh,Central,Ganga,19.6,1.62,0.132,5.6,6.88,3.29,472,1.07,Forest,0
R00196,2024-07-01,5,Jharkhand,East,Subarnarekha,41.6,2.17,0.218,7.6,2.75,3.7,5,1.91,Barren,0
R00197,2025-01-16,2,Himachal Pradesh,North,Ganga,40.0,2.59,0.245,1.4,1.49,6.62,625,1.37,Forest,0
R00198,2024-12-24,7,Madhya Pradesh,Central,Narmada,257.8,5.78,0.821,3.7,2.43,3.84,248,0.8,Urban,1
R00199,2025-06-08,7,Tripura,North-East,Gumti,400.1,8.28,0.9,17.9,0.99,9.61,641,2.32,Agriculture,1
R00200,2024-12-30,10,Assam,North-East,Brahmaputra,105.2,4.38,0.396,7.9,0.25,7.6,909,2.43,Wetland,1
R00201,2024-09-24,4,Tamil Nadu,South,Cauvery,4.6,1.78,0.098,2.9,4.98,3.62,253,1.28,Barren,0
R00202,2025-02-01,8,Uttarakhand,North,Ganga,301.7,8.85,0.884,34.8,1.74,7.09,903,1.45,Urban,1
R00203,2025-04-03,12,Jammu & Kashmir,North,Indus,20.3,1.82,0.139,10.6,1.88,6.02,795,0.93,Forest,0
R00204,2024-07-17,9,Meghalaya,North-East,Brahmaputra,364.0,11.72,0.9,37.1,1.83,7.08,707,2.33,Urban,1
R00205,2025-06-14,8,Gujarat,West,Sabarmati,144.6,3.01,0.554,0.8,1.0,2.22,336,1.04,Agriculture,0
R00206,2025-07-19,9,West Bengal,East,Hooghly,249.5,6.43,0.809,3.2,8.73,2.93,101,1.59,Wetland,1
R00207,2024-12-20,8,Karnataka,South,Cauvery,148.3,3.8,0.621,51.3,1.81,1.48,50,1.51,Wetland,1
R00208,2024-10-09,7,Meghalaya,North-East,Brahmaputra,285.3,9.18,0.9,69.8,6.09,7.88,827,1.91,Barren,1
R00209,2024-12-12,2,Assam,North-East,Brahmaputra,53.2,3.15,0.342,14.8,3.91,8.1,665,2.78,Wetland,0
R00210,2024-09-25,5,Madhya Pradesh,Central,Ganga,19.4,2.11,0.123,6.4,0.69,5.44,436,1.64,Forest,0
R00211,2024-10-22,10,Sikkim,North-East,Teesta,99.6,3.61,0.432,1.2,0.35,8.94,514,2.11,Wetland,1
R00212,2025-06-09,8,Andhra Pradesh,South,Godavari,70.6,3.38,0.348,65.3,5.61,3.09,171,0.94,Wetland,0
R00213,2024-07-29,9,Chhattisgarh,Central,Godavari,299.6,7.52,0.9,42.9,2.89,4.05,225,1.35,Wetland,1
R00214,2025-05-11,4,Odisha,East,Brahmani,30.4,1.99,0.187,5.9,2.75,1.41,5,2.07,Barren,0
